time_s,stage,baro_alt_m,baro_pres_hpa,gps_alt_m,gps_lat_deg,gps_lon_deg,gps_vel_z_m_s,gps_sat_count
10.248,0,-10.64,879.56,-11.49,39.5634499,-76.7352829,-5.65,22
12.274,0,-23.98,880.99,-22.72,39.5632286,-76.7352066,-5.48,21
14.445,0,-31.99,881.85,-28.25,39.5631104,-76.7351837,-5.51,21
16.783,0,-51.71,883.97,-48.10,39.5627365,-76.7349243,-5.43,22
19.311,0,-63.97,885.29,-62.80,39.5625534,-76.7347107,-5.68,21
21.899,0,-73.43,886.31,-71.45,39.5624733,-76.7345963,-5.59,21
24.821,0,-94.37,888.57,-94.04,39.5622787,-76.7343216,-5.59,22
27.508,0,-112.03,890.48,-96.86,39.5622559,-76.7343216,-5.59,22
29.825,0,-126.52,892.05,-125.73,39.5620575,-76.7341843,-5.71,20
32.483,0,-125.69,891.96,-125.73,39.5620575,-76.7341843,-5.71,20
34.932,0,-149.37,894.53,-146.11,39.5617981,-76.7342148,-5.89,22
36.932,0,-161.42,895.84,-158.00,39.5615883,-76.7341614,-5.95,22
38.990,0,-180.99,897.97,-178.73,39.5612526,-76.7339478,-5.97,22
41.386,0,-188.42,898.78,-184.52,39.5611649,-76.7338715,-5.76,22
43.949,0,-211.22,901.27,-207.41,39.5608864,-76.7335663,-5.75,18
46.378,0,-218.72,902.09,-212.94,39.5608368,-76.7334976,-5.60,20
48.757,0,-231.51,903.49,-222.04,39.5607719,-76.7334137,-5.87,18
50.796,0,-248.39,905.34,-245.00,39.5606155,-76.7332382,-5.84,17
52.819,0,-263.23,906.97,-256.99,39.5605354,-76.7332077,-5.95,19
54.843,0,-274.79,908.24,-269.59,39.5604439,-76.7332153,-5.96,20
57.278,0,-293.05,910.25,-285.63,39.5603065,-76.7332535,-6.23,22
63.408,0,-295.31,910.50,-288.78,39.5602722,-76.7332535,-6.23,22
66.383,0,-339.77,915.41,-334.18,39.5595741,-76.7331924,-5.84,22
68.909,0,-354.57,917.05,-349.61,39.5593872,-76.7330322,-6.11,21
70.911,0,-365.75,918.29,-361.88,39.5593033,-76.7329102,-5.85,20
73.416,0,-380.07,919.88,-376.92,39.5592155,-76.7328415,-5.94,20
75.767,0,-405.14,922.67,-398.08,39.5590477,-76.7329330,-5.89,20
78.258,0,-419.14,924.23,-413.26,39.5588570,-76.7330246,-5.92,21
80.292,0,-431.59,925.62,-427.66,39.5586166,-76.7330704,-5.76,21
82.317,0,-438.57,926.40,-439.19,39.5584450,-76.7330322,-5.68,22
84.914,0,-451.45,927.84,-445.26,39.5583801,-76.7329865,-5.96,22
87.293,0,-473.05,930.26,-466.00,39.5582542,-76.7328415,-5.94,22
89.364,0,-476.35,930.63,-471.75,39.5582390,-76.7328415,-5.80,22
